"features","nn_type","arch","look_back","act_fun","batch_size","epochs","units","dropout","optimizer","mae","rmse","r2"
"x1","FF","single",0,"tanh",16,150,50,0.1,"adam",0.341608488147726,0.406414441927946,-0.554728188847107
"x1","FF","multi",0,"tanh",16,150,50,0.1,"adam",0.329993024702667,0.397839923616246,-0.489817029253122
"x1","FF","deep",0,"tanh",16,150,50,0.1,"adam",0.340048850792729,0.406759414411319,-0.557368676074791
"x1","FF","single",0,"tanh",32,150,50,0.1,"adam",0.321201188807334,0.387289878621229,-0.411849821135484
"x1","FF","multi",0,"tanh",32,150,50,0.1,"adam",0.322263705015762,0.38686257176928,-0.408736079613153
"x1","FF","deep",0,"tanh",32,150,50,0.1,"adam",0.318018558956544,0.384685269203792,-0.392923677389266
"x1","LSTM","single",2,"sigmoid&tanh",16,100,30,0.1,"adam",0.341282087373857,0.405535667171603,-0.585007984843985
"x1","LSTM","multi",2,"sigmoid&tanh",16,100,30,0.1,"adam",0.346608053439474,0.410537810586277,-0.624350194059954
"x1","LSTM","deep",2,"sigmoid&tanh",16,100,30,0.1,"adam",0.352865523853915,0.417463024009504,-0.679613552940739
"x1","LSTM","single",2,"sigmoid&tanh",32,150,50,0.1,"adam",0.372070914822875,0.438091118980701,-0.849704015344899
"x1","LSTM","multi",2,"sigmoid&tanh",32,150,50,0.1,"adam",0.349660768281546,0.413842819211425,-0.650608924011404
"x1","LSTM","deep",2,"sigmoid&tanh",32,150,50,0.1,"adam",0.350102624036682,0.414445816652016,-0.655422529709326
"x1","LSTM","single",2,"sigmoid&tanh",16,150,30,0.1,"adam",0.354465505053998,0.419598133951943,-0.696838217526724
"x1","LSTM","multi",2,"sigmoid&tanh",16,150,30,0.1,"adam",0.35089613812807,0.415167948317842,-0.661196382136086
"x1","LSTM","deep",2,"sigmoid&tanh",16,150,30,0.1,"adam",0.35251489899884,0.41709483252677,-0.676652108913147
"x1","LSTM","single",4,"sigmoid&tanh",8,100,50,0.1,"adam",0.395543118710302,0.459268120959212,-0.97408449052991
"x1","LSTM","multi",4,"sigmoid&tanh",8,100,50,0.1,"adam",0.359053102359205,0.422864605455499,-0.673538876393983
"x1","LSTM","deep",4,"sigmoid&tanh",8,100,50,0.1,"adam",0.358949865099573,0.422779238489005,-0.672863243982484
